Id,Category,Organization Name,Address,Zip Code,Days,Time: Open,Time: Close,People Served,Description,Phone Number,LatLon
61,Day / Drop in Centers,Philadelphia Recovery Community Center (PRCC),"1701 W Lehigh Ave, Philadelphia, PA 19132",19132,"Mon, Tues, Thurs, Fri: 12-8pm, Wed: 9-5pm, Sat: 9-1pm",,,"Women, Men, Families","Case management, outpatient treatment, youth programs, training programs",215-223-7700,"-75.1600785,39.9948691"
62,Emergency Shelter,Project Home (Main location),"1515 Fairmount Avenue, Philadelphia, PA 19130",19130,,,,,,,"-75.1629703,39.9673461"
63,Emergency Shelter,Red Shield Family Residence,"715 N Broad St, Philadelphia, PA 19123",19123,,,,Families,Families Only Emergency Housing AfterHours Services,215-787-2887,"-75.1598443,39.9676355"
64,Emergency Shelter,"Resources for Human Development, Inc.","4700 Wissahickon Avenue, Philadelphia, PA 19144",19144,,,,,,,"-75.1724763,40.0155227"
65,Emergency Shelter,Ridge Avenue Shelter,"1360 Ridge Ave, Philadelphia, PA 19123",19123,,,,,,,"-75.1600778,39.9657063"
66,Emergency Shelter,Rowan Homes Diamond Street,"Judson/Diamond Street, Philadelphia, PA 19121",19121,,,,,apartments for larger families,,"-75.1719864,39.98671849999999"
67,Emergency Shelter,Rowan Judson A,"Judson/Diamond Street, Philadelphia, PA 19121",19121,,,,,permanent supportive housing for families with special needs,,"-75.1719864,39.98671849999999"
68,Emergency Shelter,Rowan Judson B,"Judson/Diamond Street, Philadelphia, PA 19121",19121,,,,,permanent supportive housing for families with special needs,,"-75.1719864,39.98671849999999"
69,Emergency Shelter,Saint John's Hospice,"1221 Race Street, Philadelphia, PA 19107",19107,,,,Men,Private Men Shelter,,"-75.1599591,39.9560988"
70,Permanent Housing,Sanctuary,"816 S. 20th Street, Philadelphia, PA 19146",19146,,,,Women,Permanent SRO housing for 16 men in recovery from drug and alcohol addiction.,,"-75.1759615,39.9415304"
71,Emergency Shelter,St. Columbia,"4133-9 Chestnut Street, Philadelphia, PA 19104",19104,,,,Men,safe haven for chronically homeless mentally ill men,,"-75.20571799999999,39.956309"
72,Emergency Shelter,St. Elizabeth's Recovery House,"1850 N Croskey Street, Philadelphia, PA 19121",19121,,,,Men,Private Men Shelter,,"-75.1712955,39.9831192"
73,Emergency Shelter,St. Elizabeth's Community Center,"1845 N. 23rd Street, Philadelphia, PA 19121",19121,,,,,,,"-75.17170039999999,39.9831539"
74,Emergency Food,St. Francis Inn,"2441 Kensington Ave, Philadelphia, PA 19125",19125,"Breakfast Tues, Wed, Thurs: 10-11am Lunch Fri, Sat, Sun: 11:30-1pm Dinner Mon, Tues, Wed, Thurs: 4:30-6pm Clothing, phone usage, resource referral",,,"Women, Men, Families","Breakfast Tues, Wed, Thurs: 10-11am Lunch Fri, Sat, Sun: 11:30-1pm Dinner Mon, Tues, Wed, Thurs: 4:30-6pm Clothing, phone usage, resource referral",215-423-5845,"-75.1305861,39.9868145"
75,Day / Drop in Centers,St. John’s Hospice,"1221 Race St, Philadelphia, PA 19107",19107,,,,Men,"Mon, Tues, Wed, Fri (except 2nd Tues): 8:30am Clothing and showers (Mon for seniors, veterans, disabled only); 12-3pm Case management",215-563-7763,"-75.1599591,39.9560988"
76,Emergency Food,St. John’s Hospice,"1221 Race St, Philadelphia, PA 19107",19107,"Lunch 12PM-1PM, Dinner 4PM",12:00 PM,,Men,,215-563-7763,"-75.1599591,39.9560988"
77,Emergency Shelter,St. John’s Hospice,"1221 Race St, Philadelphia, PA 19107",19107,,,,Men,"Drug and alcohol-free, 40-bed emergency shelter / residence for men who are in transition from homelessness to independent living in the community; all residents meet with in-house case managers to work through specific issues associated with homelessness and are referred to appropriate treatment centers and skill development programs in the community.",215-563-7763,"-75.1599591,39.9560988"
78,Emergency Food,St. Mark's Food Cupboard,"1625 Locust St, Philadelphia, PA 19103",19103,Tues-Fri 9:30AM - 11AM,9:30 AM,11:00 AM,"Women, Men, Families",The Food Cupboard has provided staples to familes and individuals in our area of the city for more than 20 years. It operates on Tuesdays - Fridays from 9:30 am to 11:00 am.,215-735-1416,"-75.1683228,39.9489048"
79,Emergency Food,St. Mark’s Saturday Soup Bowl,"1625 Locust St, Philadelphia, PA 19103",19103,Sat 7AM - 9AM,7:00 AM,9:00 AM,"Women, Men, Families",Every Saturday morning from 7 to 9 a.m. we serve soup and bread to the hungry and we greet them as brothers and sisters.,215-735-1416,"-75.1683228,39.9489048"
80,Emergency Food,St. Peter's Food Cupboard,"313 Pine St, Philadelphia, PA 19106",19106,Sat: 8AM-10AM,8:00 AM,10:00 AM,,"In 1987, someone knocked on the doors of St. Peter’s Church and asked for food. This simple question sparked the creation of the St. Peter’s Food Cupboard, which now serves an average of 180 families each week.",215-925-5968,"-75.14768950000001,39.9435653"
81,Emergency Shelter,Station House,"2601 N Broad St, Philadelphia, PA 19132",19132,,,,Men,"After hours reception for single men
 2601 N. Broad Street
 After 4 pm",215-225-9230,"-75.15448099999999,39.9923325"
82,Medical,Stephen Klein Wellness Center,"2144 Cecil B. Moore Ave, Philadelphia, PA 19121",19121,Mon-Fri,9:00,4:30 PM,,"Stephen Klein Wellness Center, Project HOME 2144 Cecil B. Moore Avenue, 215-320-6187 Mon-Fri: 9-4:30pm (Appointments Preferred) Medical clinic, counselling, health insurance enrollment (Bus options: 3, 33 and 61)",215-320-6187,"-75.1708074,39.9801564"
83,Medical,"Stephen Klein Wellness Center, ","2144 Cecil B. Moore Ave, Philadelphia, PA",19121,,,,,,,"-75.1708074,39.9801564"
84,Emergency Food,Sunday Breakfast Rescue Mission,"302 N 13th St, Philadelphia, PA 19107",19107,Sun-Sat,9:00 AM,5:00 PM,"Women, Men",Daily: Breakfast 7am; Lunch 12pm; Snack 2:15pm (Most days); Dinner 6pm,215-922-6400,"-75.160376,39.958175"
85,Emergency Shelter,Sunday Breakfast Rescue Mission,"302 N 13th St, Philadelphia, PA 19107",19107,Arrive before 6PM Sun-Sat,6:00PM,,Men,"Overnight homeless shelter is provided for men over the age of 18. To receive a bed, please arrive before 6 pm and bring identification. Your bag will be checked, and you will receive a meal and a shower before bed.",(215) 922-6400 ext. 112 or ext.102,"-75.160376,39.958175"
86,Medical,SYRINGE EXCHANGE: Prevention Point Philadelphia,"2913 Kensington Ave, Philadelphia, PA 19134",19134,NA,,,,,215-634-5272,"-75.1196576,39.9927261"
87,Day / Drop in Centers,The Perimeter (Veteran Services),"213-217 N 4th St, Philadelphia, PA 19106",19106,Mon-Fri,8:30,4:30 PM,Veterans,"Showers, haircuts, food, clothing, laundry, counseling, shelter, transportation",215-923-2600,"-75.1461131,39.9546524"
88,Emergency Shelter,The Roosevelt Darby Center,"802 N Broad St, Philadelphia, PA 19130",19130,,,,Men,"Centralized intake for single men
 802 N. Broad Street
 7 am to 3 pm",215-685-3700,"-75.16063919999999,39.9682086"
89,Day / Drop in Centers,The Well,"2709 N. Broad Street, 1st floor, Philadelphia, PA 19132",19132,Office: Mon-Fri: 9-5pm,,,"Women, Men, Families",Recovery & peer support groups/life & job coaching,,"-75.154383,39.9943534"
90,Emergency Shelter,Traveler's Aid Family Services of Philadelphia,"111 N. 49th Street, Philadelphia, PA 19139",19139,,,,Families,Families Forward Philadelphia (FFP) operates the city’s largest privately run shelter for homeless families. FFP serves 75 families on site as well as another 70 families residing in our transitional and permanent housing units in our West Philadelphia community!,215-240-4800 Ext. #100,"-75.2184789,39.9617037"
91,Emergency Shelter,Trevor's Place Family Shelter,"1624 Poplar Street, Philadelphia, PA 19130",19130,,,,Families,OESS Family Shelter,(215) 236-4660,"-75.164107,39.9705471"
92,Permanent Housing,"Victory Shelter Programs, Inc.","935 N 42nd St, Philadelphia, PA 19104",19104,,,,"Women, Men","Victory Support Services is a unique licensed home care agency/registry program, section 8 property manager and medical assistance home and community-based services provider of personal assistance and respite care. We offer an opportunity for people living in Pennsylvania, with severe disabilities who are not capable of self-preservation without assistance, to receive in-home care and supportive healthcare without having to go into a nursing facility. We also help those who wish to transition from a nursing, rehab facility or other institution, crisis or homelessness into accessible rental units or other residential community setting with the services and supports they choose to ensure their health and well-being.",215-382-2938,"-75.208185,39.9711209"
93,Day / Drop in Centers,Welcome Center Lutheran Church of the Holy Communion,"2111 Sansom St, Philadelphia, PA 19103",19103,Tues & Fri: 12pm Lunch; 12-4pm,,,"Women, Men, Families",Activities,215-567-3668,"-75.1761489,39.9517475"
94,Emergency Shelter,Whosoever Gospel Mission,"101 E Chelten Ave, Philadelphia, PA 19144",19144,Mon-Sat 9:45 AM – 4:30 PM,9:45AM,4:30PM,"Women, Men, Families","The Whosoever Gospel Mission is a Christian nonprofit organization whose purpose is to provide shelter, food, clothing, education, counseling, rehabilitation and other assistance to homeless and/or needy men, women and children in the Philadelphia Metropolitan Area.",(215) 438-3094,"-75.17350929999999,40.0373165"
