Category,Organization name,Address,Zip Code,Days,Time: Open,Time: Close,People Served,Description,Phone Number,Not Found
Emergency Food,St. Mark’s Soup Bowl,"1625 Locust St, Philadelphia, PA 19103",19103, Sat,7:00 AM,9:00 AM,"WOMEN, MEN & FAMILIES",, 215-735-1416 ,
Emergency Food,St. John’s Hospice,"1221 Race St, Philadelphia, PA 19107",19107,Dinner Mon & Fri: 4:30pm  Lunch Mon-Fri: 12-1pm (except 2nd Tues),,,"WOMEN, MEN, & FAMILIES",,215-563-7763,
Emergency Food,St. Francis Inn,"2441 Kensington Ave, Philadelphia, PA 19125",19125,"Breakfast Tues, Wed, Thurs: 10-11am Lunch Fri, Sat, Sun: 11:30-1pm Dinner Mon, Tues, Wed, Thurs: 4:30-6pm Clothing, phone usage, resource referral",,,"WOMEN, MEN, & FAMILIES","Breakfast Tues, Wed, Thurs: 10-11am Lunch Fri, Sat, Sun: 11:30-1pm Dinner Mon, Tues, Wed, Thurs: 4:30-6pm Clothing, phone usage, resource referral",215-423-5845,
Emergency Food,Mercy Hospice,"334 S 13th St, Philadelphia, PA 19107",19108,Lunch Mon-Fri: Women with children 11am; Single women 12-1:15pm,,,WOMEN & CHILDREN ONLY MEALS,Lunch Mon-Fri: Women with children 11am; Single women 12-1:15pm,215-545-5153,
Emergency Food,Our Brother’s Place,"907 Hamilton St, Philadelphia, PA 19123",19123,Monday - Sunday,12:00 PM,,MEN ONLY,,,
Emergency Food,Old St. Joseph's Church,"321 Willings Alley, Philadelphia, PA 19106",19106,"Tuesday, Thursday, Saturday",11:30 AM,1:00 PM,MEN ONLY,"Lunch Tues, Thurs & Sat: 11:30-1:30pm",215-923-1733,
Emergency Shelter,Apple Tree Family Center,"1430 Cherry St, Philadelphia, PA 19102",19102,,,,Families/Single Women,"Families/Single Women Seeking Emergency Housing Services, Office of Supportive Housing (OSH) Apple Tree Family Center INTAKE: Mon-Fri: 7-3pm 1430 Cherry Street, 215-686-7150, 7151, or 7153","215-686-7150, 7151, or 7153",
Emergency Shelter,Red Shield Family Residence,"715 N Broad St, Philadelphia, PA 19123",19123,,,,Families Only,Families Only Emergency Housing AfterHours Services,215-787-2887,
Emergency Shelter,"Gaudenzia’s House of Passage, Kirkbride Center","111 N 49th St, Philadelphia, PA 19139",19139,,,,Single Women Only ,"Single Women Only Emergency Housing After-Hours Services (OSH) Gaudenzia’s House of Passage, Kirkbride Center INTAKE: Holidays & Weekends: After 3pm 48th Street and Haverford Avenue (48th Street side entrance)",215-471-2017,
Emergency Shelter,The Roosevelt Darby Center,"802 N Broad St, Philadelphia, PA 19130",19130,,,,Single Men ,"Centralized intake for single men
802 N. Broad Street
7 am to 3 pm", 215-685-3700 ,
Emergency Shelter,Station House,"2601 N Broad St, Philadelphia, PA 19132",19132,,,,Single Men ,"After hours reception for single men
2601 N. Broad Street
After 4 pm",215-225-9230,
Emergency Shelter,Sunday Breakfast Rescue Mission,"302 N 13th St, Philadelphia, PA 19107",19107,,,,Men ,,215-922-6400 ,
Medical,Stephen Klein Wellness Center,"2144 Cecil B. Moore Ave, Philadelphia, PA 19121",19121,Mon-Fri,9:00,4:30 PM,,"Stephen Klein Wellness Center, Project HOME 2144 Cecil B. Moore Avenue, 215-320-6187 Mon-Fri: 9-4:30pm (Appointments Preferred) Medical clinic, counselling, health insurance enrollment (Bus options: 3, 33 and 61)",215-320-6187  ,
Medical,Fairmount Health Center,"1412 Fairmount Ave, Philadelphia, PA 19130",19130,Mon-Fri,8:30,5:00 PM,,"Fairmount Health Center 1412-22 Fairmount Avenue, 215-235-9600 Mon-Fri: 8:30-5pm, walk-ins welcome Co-pays on sliding scale from $20 to $40", 215-235-9600 ,
Medical,Fairmount Health Center-Our Brother’s Place,"907 Hamilton St, Philadelphia, PA 19123",19123,"Tues & Thurs: 9am-4pm, Thurs: 7-8:30pm ",,,,,215-978-2892 ,
Medical,Mary Howard Health Center,"125 S 9th St, Philadelphia, PA 19107",19107, Mon-Fri,9:00 AM,3:30 PM,,,215-592-4500 ,
Medical,"Office of Behavioral Health Emergency and
Information Line ","801 Market St Ste 7000, Philadelphia, PA 19107",19107,24hours,,,,,15-685-6440,
Medical,Mercy Hospital of Philadelphia CRC,"501 S 54th St, Philadelphia, PA 19143",19143,NA,,,,,215-748-9525,
Medical,Hall Mercer CRC- Pennsylvania Hospital,"245 S 8th St, Philadelphia, PA 19106",19106,NA,,,,,215-829-LIFE (5433) ,
Medical,SYRINGE EXCHANGE: Prevention Point Philadelphia,"2913 Kensington Ave, Philadelphia, PA 19134",19134,NA,,,,,215-634-5272 ,
Medical,HIV/AIDS SERVICES: Jonathan Lax Center Jonathan Lax Center,"1233 Locust St # 5, Philadelphia, PA 19107",19107,"Mon-Thurs: 12pm-4:30pm, Fri: 12pm-3pm ",,,,,", 215-790-1788 ",
